title,score,type,number_of_seasons,number_of_episodes,release_date,duration,resume,top_cast,audience,country,original_language
Archer,8.6,"Animation,Action,Comedy",13,135,2009– ,22 minutes,"At an international spy agency, global crises are merely opportunities for its highly trained employees to confuse, undermine, betray and royally screw each other. At the center of it all is suave master spy Sterling Archer, whose less-than-masculine code name is ""Duchess."" Archer works with his domineering mother Malory, who also is his boss. He also has to deal with his ex-girlfriend, Agent Lana Kane and her new boyfriend, comptroller Cyril Figgis, as well as Malory's lovesick secretary, Cheryl.","H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell,Aisha Tyler,Jessica Walter,Lucky Yates,Adam Reed,Dave Willis,George Coe,Tom Kane,Jeffrey Tambor,Peter Newman,Maggie Wheeler,Leigh Jackson,Christian Slater,Ron Leibman,Neal Holman",16,United States,English
The Bugs Bunny Show,8.6,"Animation,Comedy",3,78,1960–1975,30 minutes,"Bugs Bunny, the famous, Oscar-winning cartoon rabbit, hosts his first weekly television series, along with all his fellow Warner Brothers cartoon stars, including Daffy Duck, Porky Pig, Elmer Fudd, Yosemite Sam, the Tasmanian Devil, Tweety Bird, Sylvester Cat, the Road Runner, Wile E. Coyote, Pepe Le Pew, Foghorn Leghorn, and Speedy Gonzales. Each episode features three theatrical cartoons introduced by Bugs and/or the other characters, and often with a unifying idea, or theme. Many episodes feature Bugs as a lecturer on such subjects as cats, dogs, birds, and humans, and offering classic Warner Brothers cartoon footage to comically illustrate his points.","Mel Blanc,June Foray,Jim Backus,Bea Benaderet,Julie Bennett,Billy Bletcher,Daws Butler,Stan Freberg,Ben Frommer,Joan Gerber,Hal Smith,B.J. Ward,Arthur Q. Bryan",TV-G,United States,English
Blackadder the Third,8.6,Comedy,1,6,1987,3 hours,"During the Regency period, the insane King George III's stark raving mad son, George, is the Prince Regent of Wales. Vulgar and staggeringly slow-and-dim-witted, George exhausts the country's money and would surely be dead by now were it not for his dry, angry, bitter, arrogant and cynical butler, Edmund Blackadder, Esq. Blackadder is an ex-aristocrat who has lost his family fortune and been reduced to servant-hood, and full of loathing knowing he should have a better position then serving a lunatic. Sod-Off Baldrick is his dirty, smelly peasant servant, and Mrs. Miggins is an annoying cheerful coffee-shoppe owner who is too stupid to understand most of Mr. Blackadder's insults.","Rowan Atkinson,Tony Robinson,Hugh Laurie,Helen Atkinson Wood,Robbie Coltrane,Hugh Paddick,Kenneth Connor,Stephen Fry,Vincent Hanna,Tim McInnerny,Miranda Richardson,Warren Clarke,Lee Cornes,Gertan Klauber,Denis Lill,Nigel Planer,Chris Barrie,Ben Elton",TV-PG,United Kingdom,English
Dexter,8.6,"Crime,Drama,Mystery",8,96,2006–2013,53 minutes,"He's smart, he's good looking, and he's got a great sense of humor. He's Dexter Morgan, everyone's favorite serial killer. As a Miami forensics expert, he spends his days solving crimes, and nights committing them. But Dexter lives by a strict code of honor that is both his saving grace and lifelong burden. Torn between his deadly compulsion and his desire for true happiness, Dexter is a man in profound conflict with the world and himself. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,C.S. Lee,Luna Lauren Velez,Desmond Harrington,Julie Benz,Christina Robinson,Geoff Pierson,Preston Bailey,Aimee Garcia,Luke Andrew Kruntchev,Erik King,Evan George Kruntchev,Dana L. Wilson,Yvonne Strahovski,David Ramsey",12,United States,"English,Spanish"
Father Ted,8.6,Comedy,3,25,1995–1998,25 minutes,"Have mercy on poor Father Ted Crilly. He has so much to contend with when it comes to dealing with the folks of Craggy Island, Ireland. There's Father Dougal McGuire, who is as dimwitted as they come; and then there is Father Jack Hackett who lives for the simple pleasures of life (sleeping, drinking, and swearing). Ted tries to bring stability to his congregation as well as the surreal townspeople of Craggy Island.","Dermot Morgan,Ardal O'Hanlon,Frank Kelly,Pauline McLynn,Tony Guilfoyle,Patrick Drury,Rynagh O'Grady,Maurice O'Donoghue,Arthur Mathews,Don Wycherley,Pat Shortt,Jim Norton,Graham Norton,Don Foley,Paul Woodfull,Joe Taylor,Tom Farrelly,Rosemary Henderson",Not Rated,United Kingdom,English
Anne with an E,8.7,"Drama,Family",3,27,2017–2019,1 hour,"The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","Amybeth McNulty,Geraldine James,R.H. Thomson,Dalila Bela,Lucas Jade Zumann,Corrine Koslo,Helen Johns,Aymeric Jett Montaz,Kyla Matthews,Jonathan Holmes,Lia Pappas-Kemps,Jacob Ursomarzo,Dalmar Abuzeid,Miranda McKeon,Jacob Horsley,Glenna Walters,Christian Martyn,Philip Williams",13,Canada,"Micmac,French,English"
This Is Us,8.6,"Comedy,Drama,Romance",6,90,2016–2022,45 minutes,"Rebecca Pearson once had a difficult pregnancy with triplets. The resulting births occurred on the same day as her husband Jack Pearson's thirty-sixth birthday. The lives of Rebecca, Jack and their three offspring - Kevin, Kate and Randall - are presented at different points in time. The Rebecca and Jack stories generally take place during the early stage of their marriage, surrounding the birth of the three children or at different phases of the children's upbringing, which was not always smooth sailing for any of the five. Separate stories concerning Kevin, Kate and Randall are also presented in their adult years, each who has his or her own baggage resulting from that upbringing: Kevin who was generally the neglected one because he had no outward issues; Kate who has always had weight issues; Randall, the gifted one, being the visible outsider and being the ""non-K"" child. These stories may demonstrate the emotional ties that exist not only because of being family, but also because of four of them having the same birthday and some of them having always been together, meaning since conception.","Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,Justin Hartley,Susan Kelechi Watson,Chris Sullivan,Eris Baker,Faithe Herman,Jon Huertas,Mackenzie Hancsicsak,Parker Bates,Hannah Zeile,Lonnie Chavis,Niles Fitch,Logan Shroyer,Lyric Ross,Ron Cephas Jones",Tous publics,United States,English
Monster,8.6,"Animation,Crime,Drama",1,75,2004–2010,24 minutes,"Dr. Kenzo Tenma, a young but extremely talented neurosurgeon, lives his life working in a hospital in Germany. He is respected by his superiors for his incredible surgical skills, envied by his peers and he is engaged to the daughter of the hospital director. But one day his bright future changes when a little boy is brought in with a serious head injury, along with his twin sister, the aftermath of a family massacre. He is faced with a huge dilemma when his superior orders him to abort the boy's surgery and operate on the mayor instead, who was brought in much later. He decides that ""all life is equal"" and goes against his superiors to save the boy's life (who arrived first), which ultimately results in the mayor's death. The boy survives, leaving Tenma's career in ruins, his engagement to his fiancé broken. His downward spiral begins when one night, while he is out cold in a drunken stupor, the twins vanish from the hospital and Tenma's superiors - along with the hospital director - are found dead. Tenma, having no alibi and the only one with motive, is the prime murder suspect. He goes into hiding and vows to find the twins and prove his innocence. Little did he know, that this is only the beginning of a terrifying journey through countries, buried secrets and the dark depths of the human psyche...","Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman,Nozomu Sasaki,Tsutomu Isobe,Richard Epcar,Junko Takeuchi,Keith Silverstein,Ichirô Nagai,Mami Koyama,Tara Platt,Michael McConnohie,Paul St. Peter,Takayuki Sugô,Hideyuki Tanaka,Laura Bailey,Patrick Seitz",12,Japan,"English,Japanese"
The Haunting of Hill House,8.6,"Drama,Horror,Mystery",1,10,2018,9 hours 32 minutes,"Explores a group of siblings who, as children, grew up in what would go on to become the most famous haunted house in the country. Now adults, and forced back together in the face of tragedy, the family must finally confront the ghosts of their past, some of which still lurk in their minds while others may actually be stalking the shadows of Hill House.","Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Lulu Wilson,Mckenna Grace,Paxton Singleton,Julian Hilliard,Violet McGraw,Timothy Hutton,Anthony Ruivivar,Samantha Sloyan,Annabeth Gish,Robert Longstreet,Olive Elise Abercrombie",16,United States,English
Battlestar Galactica,8.6,"Action,Adventure,Drama",1,2,2003,3 hours 3 minutes,"It's been 40 years since the 12 colonies of mankind have heard from their progeny, the Cylons -- robotic creatures who rose up and declared war on their masters, then disappeared. In a sudden, devastating strike, the Cylons return and lay waste to the colonies, aided by human-looking Cylon variants and an unwitting fifth columnist. The attack forces Commander William Adama to call into action his museum-piece warship, the Battlestar Galactica, and soon its company of hotshot fighter pilots is blasting away at the invaders. But their best efforts can't prevent the colonies' obliteration. Fleeing the Cylon genocide, the Galactica leads a rag-tag fleet of survivors on a lonely quest to find humanity's fabled 13th colony -- a planet known as Earth.","Edward James Olmos,Mary McDonnell,Katee Sackhoff,Jamie Bamber,James Callis,Tricia Helfer,Callum Keith Rennie,Grace Park,Michael Hogan,Matthew Bennett,Paul Campbell,Aaron Douglas,Barclay Hope,Lorena Gale,Kandyse McClure,Connor Widdows,John Mann,Alessandro Juliani",TV-14,United States,English
Westworld,8.6,"Drama,Mystery,Sci-Fi",4,36,2016– ,1 hour 2 minutes,"This science fiction western series from Jonathan Nolan and Lisa Joy was inspired by Michael Crichton's Westworld (1973) and is set at a Wild West theme park created by Dr. Robert Ford (Sir Anthony Hopkins) with human-like androids, where guests are encouraged to indulge their fantasies and desires.","Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,Tessa Thompson,James Marsden,Luke Hemsworth,Angela Sarafyan,Anthony Hopkins,Simon Quarterman,Rodrigo Santoro,Shannon Woodward,Jimmi Simpson,Talulah Riley,Ptolemy Slocum,Leonardo Nam,Aaron Paul,Ingrid Bolsø Berdal",10,United States,English
Mindhunter,8.6,"Crime,Drama,Thriller",2,19,2017–2019,1 hour,"Two FBI agents, fighting the departmental stigma of backroom boys - those who try to complicate the status quo of simple Means, Motive, Opportunity (MMO) of crime-solving with academics - work to develop an innovative investigative field incorporating psychology, anthropology and sociology as a method to reveal the motive. They acknowledge classic crime-solving - MMO - as no longer sufficient because criminality is becoming more complicated as Motive graduates from need and greed to inexplicable and irrational reasons. They theorize applying deeper psychological evaluation will posit new questions. Simply, asking Why will lead to the Who. This series focuses on the development by two men, two agents, of a new criminal field and does so through story lines of visiting the sociopathic mind.","Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,Sonny Valicenti,Stacey Roca,Joe Tuttle,Zachary Scott Ross,Cotter Smith,Albert Jones,Lauren Glazier,Michael Cerveris,Dohn Norwood,Gareth Williams,June Carryl,Cameron Britton,Nate Corddry,Sierra Aylina McClain",16,United States,English
Gomorra: La serie,8.7,"Crime,Drama,Thriller",5,58,2014–2021,55 minutes,"Organised crime clans fight wars and make fleeting alliances in the dynamic and ever-shifting underworld of the poverty-stricken Naples, Italy. Gennaro, the son and heir of the Savastano clan, and Ciro Di Marzio, one of this clan's officers, have great ambition to advance to ever-greater heights. The path ahead is bloody and cruel, and their families will be put at risk.","Salvatore Esposito,Marco D'Amore,Cristiana Dell'Anna,Fortunato Cerlino,Ivana Lotito,Fabio De Caro,Cristina Donadio,Christian Giroso,Giovanni Buselli,Arturo Muselli,Alessandro Palladino,Roberto Oliveri,Riccardo Ciccarelli,Carmine Monaco,Lino Musella,Francesco Capriello,Marco Palvetti,Salvatore Vacca",12,"Italy,Germany","Italian,Neapolitan"
Jujutsu Kaisen,8.7,"Animation,Action,Adventure",1,24,2020– ,24 minutes,"Yuji Itadori, a kind-hearted teenager, joins his school's Occult Club for fun, but discovers that its members are actual sorcerers who can manipulate the energy between beings for their own use. He hears about a cursed talisman - the finger of Sukuna, a demon - and its being targeted by other cursed beings. Yuji eats the finger to protect his friends, and ends up becoming Sukuna's host. However, Yuji discovers that he has inherited magic and is able to control this power without interference from Sukuna. He joins the Tokyo Metropolitan Magic Technical College to consumes all of Sukuna's fingers, which will enable a full exorcism to take place that will free him.","Junya Enoki,Adam McArthur,Yûichi Nakamura,Yuma Uchida,Asami Seto,Mitsuo Iwata,Chris Tergliafera,Nobunaga Shimazaki,Tomokazu Seki,Mikako Komatsu,Koki Uchiyama,Jun'ichi Suwabe,Tara Sands,Kenjirô Tsuda,Shigeru Chiba,Takaya Kuroda,Amber Lee Connors,Takahiro Sakurai",16,Japan,Japanese
Friday Night Lights,8.6,"Drama,Sport",5,76,2006–2011,44 minutes,"In the small town of Dillon, Texas, one night matters: Friday Night. Eric Taylor has recently been hired as the head football coach for the Dillon High School Panthers, the town's pride and joy. Friday Night Lights displays the stress that the town gives the high school players to win, and the hope that the team gives to a small town, and how a team has its low points, its high points, and how they come together as a team on their way to victory.","Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,Brad Leland,Taylor Kitsch,Jesse Plemons,Derek Phillips,Blue Deckert,Minka Kelly,Adrianne Palicki,Timothy F. Crowley,Louanne Stephens,Stacey Oristano,Scott Porter,Gaius Charles,David Cowgill,Gary Teague",Tous publics,United States,English
La Ligue des justiciers: Nouvelle Génération,8.6,"Animation,Action,Adventure",4,98,2010– ,23 minutes,"Within the Justice League, its members' teen sidekicks push for full membership, but it's only after they successfully investigate Cadmus, in which they find and free its secret young clone of Superman, Kon-El (Nolan North), is the League convinced. In response, the League organizes the teenagers into an apprentice team to be both trained and act on behalf of the League at their own pace. Now these teen superheroes, soon strengthened by more members, must battle the forces of evil in their own way, even as the mysterious cabal known only as The Light has a sinister agenda of their own.","Danica McKellar,Nolan North,Jesse McCartney,Stephanie Lemelin,Khary Payton,Jason Spisak,Zehra Fazal,Bruce Greenwood,Troy Baker,Crispin Freeman,Kevin Michael Richardson,Masasa Moyo,Grey Griffin,Phil LaMarr,Eric Lopez,Greg Cipes,Jason Marsden,Dee Bradley Baker",Tous publics,United States,English
Peep Show,8.6,Comedy,9,54,2003–2015,25 minutes,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,"David Mitchell,Robert Webb,Matt King,Olivia Colman,Neil Fitzmaurice,Isy Suttie,Paterson Joseph,Sophie Winkleman,Jim Howick,Rachel Blanchard,Elizabeth Marmur,Vera Graziadei,Camilla Beeput,Emily Bruni,Paul Clayton,Cariad Lloyd,Catherine Shepherd,Endy McKay",TV-MA,United Kingdom,English
X Files: aux frontières du réel,8.6,"Crime,Drama,Mystery",11,217,1993–2018,45 minutes,"Two FBI agents, Fox Mulder and Dana Scully work in an unassigned detail of the bureau called the X-Files investigating cases dealing with unexplained paranormal phenomena. Mulder, a true believer, and Scully, a skeptic, perceive their cases from stand points of science and the paranormal.","David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,Robert Patrick,Tom Braidwood,Bruce Harwood,Dean Haglund,Annabeth Gish,Nicholas Lea,James Pickens Jr.,Sheila Larken,Chris Owens,Don S. Williams,Steven Williams,Jerry Hardin,Laurie Holden,Rebecca Toolan",Tous publics,"United States,Canada",English
Parks and Recreation,8.6,Comedy,7,124,2009–2015,22 minutes,"Leslie Knope, a mid-level bureaucrat in an Indiana Parks and Recreation Department, hopes to beautify her town (and boost her own career) by helping local nurse Ann Perkins turn an abandoned construction site into a community park. However, what should be a fairly simple project is stymied at every turn by oafish bureaucrats, selfish neighbors, governmental red tape, and a myriad of other challenges. Leslie's colleague Tom Haverford, who delights in exploiting his position for personal gain, is as likely to undermine her efforts as to help her, while her boss, Ron Swanson, is adamantly opposed to government in any form, even though he's a bureaucrat.","Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,Aubrey Plaza,Aziz Ansari,Retta,Rashida Jones,Adam Scott,Rob Lowe,Jay Jackson,Paul Schneider,Ben Schwartz,Mo Collins,Yvans Jourdain,Jon Glaser,Billy Eichner,James Greene",Tous publics,United States,English
Blackadder II,8.6,Comedy,1,6,1986,2 hours 56 minutes,"Sixty years after the demise of Prince Edmund Plantagenet, Queen Elizabeth I, who's as insane as her ancestors, is England's current leader. Seductive, easy-to-impress, spoiled, and always seeking a husband, ""Queenie"" has a leading courtier: Lord Edmund Blackaddder, great-grandson of the original. Now, however, he is dryly cynical and intelligent, but still trying to become king; this time by marrying the queen. However, her right-hand-man, Lord Melchett, will always serve as fair competition for her hand. Blackadder is again assisted by the clueless but fashionable Lord Percy Percy and dung-eating, ""cunning"" peasant Baldrick.","Rowan Atkinson,Tony Robinson,Tim McInnerny,Miranda Richardson,Stephen Fry,Patsy Byrne,Tony Aitken,Hugh Laurie,Tom Baker,Holly De Jong,Gabrielle Glaister,Ronald Lacey,Miriam Margolyes,Max Harvey,Simon Jones,Rik Mayall,Cassie Stuart,Bill Wallis",TV-PG,United Kingdom,English
Demon Slayer,8.7,"Animation,Action,Adventure",2,34,2019– ,25 minutes,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kitô,Aleks Le,Hiro Shimono,Yoshitsugu Matsuoka,Bryce Papenbrook,Doug Erholtz,Johnny Yong Bosch,Brook Chalmers,Takahiro Sakurai,Saori Hayami,Erika Harlacher,Takumi Yamazaki,Shinya Takahashi,Hôchû Ôtsuka,Greg Chun",Tous publics avec avertissement,Japan,Japanese
Sarabhai V/S Sarabhai,8.8,Comedy,2,79,2004–2017,30 minutes,"The show revolves around the life of an upper class Gujarati family, the Sarabhais, who live in a luxury apartment building in the upmarket Cuffe Parade area of South Mumbai. The family consists of Indravadan Sarabhai (Satish Shah) and his wife Maya (Ratna Pathak), who live in an apartment with their younger son Rosesh (Rajesh Kumar). Their older son Sahil (Sumeet Raghavan) and his wife Monisha Sarabhai (Rupali Ganguly) née Manisha Singh live in the apartment across the hallway. Maya considers the name Manisha middle class and renames her Monisha before their marriage. Monisha's middle-class habits irk Maya. Monisha, on the other hand, does not appreciate Maya's snooty and snobbish behaviour. Indravadan constantly derides Roshesh for being tied to his mother's apron strings and for writing bad poetry. Maya and Roshesh consider Indravadan's attitude towards Rosesh and his gregarious nature boorish. The ensuing conflict and comedy becomes Sarabhai vs Sarabhai. Much of the humour is derived from the fake, artificial and shallow interactions among the city's elite and their perceived notions of the shortcomings and failings of middle-class society.","Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,Rajesh Kumar,Ghanshyam Nayak,Deven Bhojani,Arvind Vaidya,Shilpa Mehta,Rita Bhaduri,Sheetal Thakkar,Vaibhavi Upadhyay,Aishwarya Sakhuja,Gurpal Singh,Gerald Stone,Aatish Kapadia,Jamnadas Majethia,Meher Acharia-Dar",TV-PG,India,"Hindi,Gujarati,English"
Code Geass: Lelouch of the Rebellion,8.7,"Animation,Action,Drama",2,54,2006–2012,24 minutes,"The Empire of Britannia has invaded Japan using giant robot weapons called Knightmare Frames. Japan is now referred to as Area 11, and its people the 11's. A Britannian who was living in Japan at the time, Lelouch, vowed to his Japanese friend Suzaku that he'd destroy Britannia. Years later, Lelouch is in high school, but regularly skips out of school to go play chess and gamble on himself. One day, he stumbles on terrorists 11's who've stolen a military secret and is caught by a member of the Britannian task force sent after them, who is Suzaku. As the rest of the squad arrives, Suzaku is shot for disobeying orders, while the military secret, a young immortal witch, gives Lelouch the power of Geass, which makes anyone obey any order. While Suzaku is secretly made the pilot of Britannia's brand new prototype Knightmare, Lancelot, Lelouch becomes the masked Zero to lead the rebellion to destroy Britannia once and for all.","Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana,Ami Koshimizu,Yuri Lowenthal,Kate Higgins,Karen Strassman,Brian Beacock,Noriaki Sugiyama,Tetsu Shiratori,Akeno Watanabe,Liam O'Brien,Sayaka Ôhara,Kikuko Inoue,Mitsuaki Madono,Kirk Thornton,Deborah Sale Butler",13,Japan,Japanese
Formule 1: Pilotes de leur destin,8.6,"Documentary,Sport",4,31,2019– ,40 minutes,Docuseries following the FIA Formula One World Championship across multiple seasons.,"Valtteri Bottas,Will Buxton,Pierre Gasly,Lewis Hamilton,Charles Leclerc,Kevin Magnussen,Sergio Pérez,Daniel Ricciardo,Kimi Räikkönen,Carlos Sainz,Lance Stroll,Max Verstappen,Sebastian Vettel,Esteban Ocon,Lando Norris,George Russell,Toto Wolff,Romain Grosjean",7,United Kingdom,"Arabic,English"
The Bridge: Bron/Broen,8.6,"Crime,Mystery,Thriller",4,38,2011–2018,1 hour,"Season 2 begins 13 months after the events of the first season. A coastal tanker leaves the Öresund waterway and is headed straight for the Øresund Bridge. When the Coast Guard board the ship they discover there is no crew, and three Swedish and two Danish youths are chained below deck. Saga Norén, County Police, Malmö, is put in charge of the case and contacts Martin Rohde, who is still haunted by the death of his son. Soon it turns out the chained youths were just the beginning... Someone wants to direct our attention to the changing climate and the use of our planet's resources, and will stop at nothing to do it. It all turns into a race against the clock to prevent a disaster where many lives are at stake...","Sofia Helin,Rafael Pettersson,Sarah Boberg,Dag Malmberg,Kim Bodnia,Puk Scharbau,Thure Lindhardt,Lars Simonsen,Gabriel Flores Jair,Henrik Lundström,Maria Kulle,Julie Carlsen,Emil Birk Hartmann,Anette Lindbäck,Said William Legue,Kristina Brändén Whitaker,Lotte Munk,Vickie Bak Laursen",12,"Sweden,Denmark,Germany","Swedish,Danish"
Lonesome Dove,8.7,"Adventure,Drama,Western",1,4,1989,6 hours 24 minutes,"Epic story about two former Texas rangers who decide to move cattle from the south to Montana. Augustus McCrae and Woodrow Call run into many problems on the way, and the journey doesn't end without numerous casualties. (6 hrs approx)","Robert Duvall,Tommy Lee Jones,Danny Glover,Diane Lane,Robert Urich,Frederic Forrest,D.B. Sweeney,Ricky Schroder,Anjelica Huston,Chris Cooper,Timothy Scott,Glenne Headly,Barry Corbin,William Sanderson,Barry Tubb,Gavan O'Herlihy,Steve Buscemi,Frederick Coffin",TV-14,United States,English
Mad Men,8.6,Drama,7,92,2007–2015,47 minutes,"The professional and personal lives of those who work in advertising on Madison Avenue - self-coined ""mad men"" - in the 1960s are presented. The stories focus on those at one of the avenue's smaller firms, Sterling Cooper, and its various incarnations over the decade. At the heart of these stories is Donald Draper, the creative genius of the company. That professional creative brilliance belies the fact of a troubled childhood, one that he would rather forget and not let anyone know about except for a select few, but one that shaped who he is as an adult and as an ad man in the need not only to sell products but sell himself to the outside world. His outward confidence also masks many insecurities as evidenced through his many vices, such as excessive smoking, drinking and womanizing - the latter despite being a family man - and how he deals with the aftermath of some of the negative aspects of his life.","Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,Christina Hendricks,Aaron Staton,Rich Sommer,John Slattery,Kiernan Shipka,Robert Morse,Christopher Stanley,Jessica Paré,Jay R. Ferguson,Michael Gladis,Bryan Batt,Alison Brie,Jared Harris,Kevin Rahm",Tous publics,United States,English
Ramayan,9.0,"Adventure,Drama,Family",1,78,1987–1988,30 minutes,"The noble prince Rama (an incarnation of Lord Vishnu) is exiled from Ayodhya on his stepmother's whim, and his loyal brother Lakshmana and beautiful wife, Sita, follow him into the forest despite the many dangers it holds. But when Sita is kidnapped by Ravana, king of the rakshasas, Rama must go deep into himself to find the physical and emotional resources he needs to rescue her. An idealized heroic tale about the struggle between good and evil, the Ramayana is also an intensely personal story of family relationships, love and loss, duty and honour, of harem intrigue, petty jealousies and destructive ambitions-all this played out in a universe populated by larger-than-life humans, gods and celestial beings, wondrous animals and terrifying demons.","Arun Govil,Deepika Chikhalia,Sunil Lahri,Arvind Trivedi,Dara Singh,Sanjay Jog,Samir Rajda,Shyamsundar Kalani,Vijay Arora,Bal Dhuri,Jayshree Gadkar,Padma Khanna,Rajni Bala,Mukesh Rawal,Nalin Dave,Aparajita,Lalita Pawar,Renu Dhariwal",TV-14,India,Hindi
Star Trek: La nouvelle génération,8.6,"Action,Adventure,Mystery",7,176,1987–1994,44 minutes,"Set in the twenty-fourth century and seven to eight decades after the adventures of the original crew of the starship Enterprise, this new series is the long-awaited successor to ","Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton,Marina Sirtis,Michael Dorn,Gates McFadden,Majel Barrett,Wil Wheaton,Colm Meaney,James G. Becker,Denise Crosby,Whoopi Goldberg,Diana Muldaur,Patti Yasutake,Nora Leonhardt,Dennis Madalone,Michelle Forbes",Tous publics,United States,"English,Klingon,French"
Atlanta,8.6,"Comedy,Drama,Music",4,39,2016– ,30 minutes,"Atlanta is one of the top cities for young rappers looking to make a name for themselves in the business. Among those up-and-comers is Alfred Miles, a hot new artist who is trying to understand the line between real life and street life. He is managed by his cousin, Earn, who gets caught up in the local rap scene and his cousin's career after returning home to the ATL. Earn does whatever he can to try to get Alfred's career to the next level. Darius, the rapper's right-hand man and visionary, is also in Alfred's entourage. When Earn isn't busy managing his cousin's career, he spends much of his time with best friend Vanessa, who is also the mother of his daughter.","Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,Khris Davis,RJ Walker,Harold House Moore,Matthew Barnes,Myra Lucretia Taylor,Cranston Johnson,Griffin Freeman,Derrick Haywood,Brandon Hirsch,Diane Sellers,Emmett Hunter,Monique Grant,Dennis L.A. White,Rick Holmes",12,United States,English
Top Gear,8.6,"Adventure,Comedy,Reality-TV",31,316,2002– ,1 hour,"Top Gear is a British television series about motor vehicles, primarily cars, and is a relaunched version of the original 1977 show of the same name, airing since 2002, and becoming the most widely watched factual television programme in the world.","Jeremy Clarkson,Richard Hammond,James May,The Stig,Ben Collins,Chris Harris,Matt LeBlanc,Andrew Flintoff,Paddy McGuinness,Rory Reid,The Stig,Perry McCarthy,Sabine Schmitz,Jason Dawe,Andy Wilman,Chris Evans,Josh Cohen,Tom Chilton",TV-PG,United Kingdom,"English,Italian,German,Spanish,French"
Deadwood,8.6,"Crime,Drama,History",3,36,2004–2006,55 minutes,"The town of Deadwood, South Dakota in the weeks following the Custer massacre is a lawless sinkhole of crime and corruption. Into this uncivilized outpost ride a disillusioned and bitter ex-lawman, Wild Bill Hickok, and Seth Bullock, a man hoping to find a new start for himself. Both men find themselves quickly on opposite sides of the legal and moral fence from Al Swearengen, saloon owner, hotel operator, and incipient boss of Deadwood. The lives of these three intertwine with many others, the high-minded and the low-lifes who populate Deadwood in 1876.","Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,W. Earl Brown,John Hawkes,Paula Malcomson,Dayton Callie,Leon Rippy,William Sanderson,Robin Weigert,Sean Bridgers,Bree Seanna Wall,Jim Beaver,Jeffrey Jones,Kim Dickens,Powers Boothe,Titus Welliver",Tous publics,United States,"English,Irish Gaelic"
Haikyuu!!,8.7,"Animation,Comedy,Drama",4,88,2014–2020,24 minutes,"Hinata Shouyou, a short middle school student, gained a sudden love of volleyball after watching a national championship match on TV. Determined to become like the championship's star player, a short boy nicknamed ""the small giant"", Shouyou joined his school's volleyball club. Unfortunately, he was the only member and the club didn't have so much as a place to practice. He didn't let that deter him, however, and, upon finally acquiring 5 other players in his final year, was able to compete in an actual competition - only for his team to be unlucky enough to face the championship favorite and its star player, Kageyama Tobio, called ""the king of the court"", in the first round. Though Shouyou's team suffers a crushing defeat, he vows to become better and eventually surpass Kageyama. Now Shouyou is starting his first year in high school - the very one he had first watched in the national championships. He's going to join the volleyball team, practice constantly, and wipe the floor with Kageyama the next time they meet on the court. ...or at least that's what Shouyou had planned, until he discovers that he and Kageyama are now in the same school. The volleyball team definitely needs their skills, but only if they can stop bickering and learn to work together as teammates.","Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino,Miyu Irino,Koki Uchiyama,Sôma Saitô,Nobuhiko Okamoto,Yoshimasa Hosoya,Hiroshi Kamiya,Toshiki Masuda,Bryson Baugus,Adam Gibbs,Scott Gibbs,Greg Cote,Justin Doran,Gabriel Regojo,Blake Shepard",Tous publics,Japan,"English,Japanese"
