title,score,type,number_of_seasons,number_of_episodes,release_date,duration,resume,top_cast,audience,country,original_language
Seinfeld,8.8,Comedy,9,173,1989–1998,22 minutes,"Jerry Seinfeld stars in this television comedy series as himself, a comedian. The premise of this sitcom is Jerry and his friends going through everyday life, discussing various quirky situations, to which we can all relate (especially if we live in New York City). The eccentric personalities of the offbeat characters who make up Jerry's social circle contribute to the fun.","Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,Ruth Cohen,Wayne Knight,Norman Brenner,Heidi Swedberg,Estelle Harris,Jerry Stiller,Liz Sheridan,John O'Hurley,Barney Martin,Len Lesser,Deck McKenzie,Richard Herd,Peggy Lane,Richard Fancy",Tous publics,United States,English
Dexter: New Blood,9.0,"Crime,Drama,Mystery",1,10,2021– ,,"Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami.","Michael C. Hall,Jack Alcott,Julia Jones,Johnny Sequoyah,Alano Miller,Jennifer Carpenter,David Magidoff,Clancy Brown,Michael Cyril Creighton,Katy Sullivan,Steve M. Robertson,Oscar Wahlberg,Andrew Fama,Dustin Tucker,Dee Nelson,Armen Garo,Fredric Lehne,Gizel Jimenez",TV-MA,United States,English
Souvenirs de Gravity Falls,8.9,"Animation,Action,Adventure",2,40,2012–2016,23 minutes,"When Dipper and Mabel Pines get sent to their great-uncle Stan's shop in Gravity Falls, Oregon for the summer, they think it will be boring. But when Dipper find a strange journal in the woods, they learn some strange secrets about the town and its strange inhabitants.","Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,Kevin Michael Richardson,Matt Chapman,Kari Wahlgren,John DiMaggio,Keith Ferguson,Gregg Turkington,Jennifer Coolidge,Carl Faruolo,Niki Yang,Dee Bradley Baker,T.J. Miller,Will Forte,Grey Griffin,Thurop Van Orman",Tous publics,United States,English
TVF Pitchers,9.1,"Comedy,Drama",1,5,2015,40 minutes,"Four friends Naveen Bansal (Naveen), Jitendra Maheshwari (Jitu), Yogendra Kumar (Yogi) and Saurabh Mandal (Mandal), decide to enter the start-up world by launching their own start-up. Things are kicked off by Naveen who, angry at not being given his due at work, resigns in a drunk state. At the same time, he receives news of his B-Plan reaching the final round of the NASSCOM start-up conclave. This begins a series of situations in which the four friends rediscover what they really want in life and the challenges they face in getting their start-up idea off the ground.It's story is inspired from HBO TV series ""Silicon Valley"" but the plot is well designed in accordance with Indian audience who are not well aware of the Idea of Startup.","Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan,Akanksha Thakur,Maanvi Gagroo,Gopal Datt,Jaimini Pathak,Pranav Bhasin,Rajesh Sharma,Suneel Sinha,Biswapati Sarkar,Arnav Bhasin,Aditi Singh,Natasha Azad,Manjiri Pupala,Abhishek Banerjee,Manuj Sharma",TV-MA,India,"Hindi,English"
Last Week Tonight with John Oliver,8.8,"Comedy,History,News",8,240,2014– ,30 minutes,"With his insightful wit and fearless candor, comedian John Oliver, formerly of the ","John Oliver,David Kaye,Ryan Barger,Noel MacNeal,Alberto Bonilla,H. Jon Benjamin,Gilbert Gottfried,Rachel Dratch,James Wojtal,George Clooney,Kyle Ploof,Moujan Zolfaghari,Paul McGinnis,Alex Webb,Thomas Kopache,Stephanie D'Abruzzo,Jack McBrayer,Frances Mitchell",10,United States,English
Only Fools and Horses,8.9,Comedy,9,64,1981–2003,1 hour 35 minutes,"Traders and brothers, Rodney and Derek ""Del Boy"" Trotter, work from the streets of London buying what they can from the auctions and flogging it down at the market, always saying ""This time next year, we'll be millionaires"". Their Granddad and, later in the series, Uncle Albert also live in their council flat as the wise old man saying their next scheme won't work and offering in their jokes.","David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,John Sullivan,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse",TV-PG,United Kingdom,English
Apocalypse: La 2ème guerre mondiale,9.0,"Documentary,History,War",1,6,2009,5 hours 12 minutes,"Apocalypse: The Second World War(2009) is a six-part French documentary about the Second World War. The documentary is composed exclusively of actual footage of the war as filmed by war correspondents, soldiers, resistance fighters and private citizens. The series is shown in color, with the black and white footage being fully colorized, save for some original color footage. The only exception to the treatment are most Holocaust scenes, which are presented in the original black and white.","Mathieu Kassovitz,Martin Sheen,Rudolf Hess",TV-MA,France,French
Dans leur regard,8.9,"Biography,Crime,Drama",1,4,2019,4 hours 56 minutes,"In 1989, a jogger was assaulted and raped in New York's Central Park, and five young people were subsequently charged with the crime. The quintet, labeled the Central Park Five, maintained its innocence and spent years fighting the convictions, hoping to be exonerated. This limited series spans a quarter of a century, from when the teens are first questioned about the incident in the spring of 1989, going through their exoneration in 2002 and ultimately the settlement reached with the city of New York in 2014. The cast is full of Emmy nominees and winners, including ","Asante Blackk,Caleel Harris,Ethan Herisse,Marquis Rodriguez,Marsha Stephanie Blake,Kylie Bunbury,John Leguizamo,Niecy Nash,Suzzanne Douglas,Michael Kenneth Williams,Jharrel Jerome,Aunjanue Ellis,Felicity Huffman,Len Cariou,William Sadler,Adepero Oduye,Alexandra Templer,Denia Brache",TV-MA,United States,English
Afrique sauvage,8.9,Documentary,1,7,2013,6 hours,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.","David Attenborough,Simon Blakeney,Mark Deeble,Matthew Wright,Mike Fox,Martyn Colbeck,Kate Broome,Bill Rudolph,Kevin Flay,Mark MacEwen,E.O. Wilson,Justin Maguire,Hugh Pearson,Andres Bifani,James Aldred,Warwick Sloss,Olubi Lairumbe,Tim Berrow",TV-PG,United Kingdom,English
The Office,8.9,Comedy,9,188,2005–2013,22 minutes,"A mediocre paper company in the hands of Scranton, PA branch manager Michael Scott. This mockumentary follows the everyday lives of the manager and the employees he ""manages."" The crew follows the employees around 24/7 and captures their quite humorous and bizarre encounters as they will do what it takes to keep the company thriving.","Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,Mindy Kaling,B.J. Novak,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods",13,United States,English
